CustomerID,SimilarCustomers
C0001,"[('C0048', 0.9995628674254692), ('C0190', 0.9988936497096816), ('C0181', 0.9966484396994495)]"
C0002,"[('C0088', 0.9977783716084379), ('C0092', 0.99739712633045), ('C0106', 0.9942902542355825)]"
C0003,"[('C0052', 0.9964849634498597), ('C0031', 0.9956637935839785), ('C0076', 0.9955364802192004)]"
C0004,"[('C0087', 0.996147385374338), ('C0155', 0.9940129717698689), ('C0165', 0.9934929962887343)]"
C0005,"[('C0186', 0.9998449967385653), ('C0007', 0.9991665425134356), ('C0115', 0.9973337888370937)]"
C0006,"[('C0168', 0.9988310514434647), ('C0187', 0.997563928753396), ('C0011', 0.9973150428043486)]"
C0007,"[('C0115', 0.9993794615805947), ('C0005', 0.9991665425134356), ('C0186', 0.998404263007292)]"
C0008,"[('C0065', 0.98340157344634), ('C0059', 0.9833914223548491), ('C0160', 0.9599557573671066)]"
C0009,"[('C0198', 0.9975668192123324), ('C0061', 0.9945190692164203), ('C0062', 0.9926802085581136)]"
C0010,"[('C0111', 0.9949566521451263), ('C0062', 0.994288893524738), ('C0103', 0.9908740200792596)]"
C0011,"[('C0137', 0.9989437610247346), ('C0174', 0.9985876494141198), ('C0191', 0.9982976878893831)]"
C0012,"[('C0163', 0.9978733132078449), ('C0113', 0.9971806911576097), ('C0104', 0.9966885997690029)]"
C0013,"[('C0108', 0.9976940656406728), ('C0099', 0.9975298379551626), ('C0107', 0.981849791159689)]"
C0014,"[('C0060', 0.9998756502898258), ('C0089', 0.9806414724004641), ('C0166', 0.9513143522891137)]"
C0015,"[('C0131', 0.9941678658729312), ('C0036', 0.9926962206505996), ('C0094', 0.984797941349973)]"
C0016,"[('C0183', 0.9991639260086076), ('C0067', 0.9953108001659942), ('C0030', 0.9947215478219534)]"
C0017,"[('C0041', 0.9950929239084295), ('C0075', 0.993257061699958), ('C0057', 0.9913615831519527)]"
C0018,"[('C0046', 0.9931187916641085), ('C0122', 0.9930055718928188), ('C0117', 0.9913328783148786)]"
C0019,"[('C0081', 0.9951649660010539), ('C0064', 0.9908152088243126), ('C0135', 0.9898708267851895)]"
C0020,"[('C0050', 0.9751023935342877), ('C0035', 0.9622177092584704), ('C0157', 0.9506371665789398)]"
